angle	distance	status	sector	lat	lon
63	20.3	alive	east	47.5561252652797	-122.25322674977
35	19.5	alive	east	47.5561437905854	-122.253254704179
96	15.7	alive	east	47.5560955009832	-122.253236766703
6	24	dead	east	47.5561654345764	-122.253289840363
353	21.5	dead	east	47.5561585020216	-122.253310611219
91	19.6	dead	east	47.5560990622095	-122.253220636324
93	12.6	dead	east	47.5560981921802	-122.253249042654
80	4.1	dead	east	47.556101951801	-122.253283648139
338	5.1	dead	east	47.5561129633647	-122.253307737088
25	5.9	dead	east	47.5561146591713	-122.253289902072
13	6.3	dead	east	47.5561168285303	-122.253294260678
0	7.8	dead	east	47.556121383378	-122.2533
83	7.9	dead	east	47.5561026393838	-122.253268245178
34	9.9	dead	east	47.5561225004433	-122.253277580347
45	13.1	dead	east	47.5561253943969	-122.253262486432
2	13.5	dead	east	47.5561369871472	-122.25329809197
20	15.2	dead	east	47.5561391571515	-122.253278946347
30	16.3	dead	east	47.5561386990133	-122.253266994236
87	18.3	dead	east	47.5561026256027	-122.253225990516
342	18.8	dead	east	47.5561490169023	-122.253323527321
55	22.4	dead	east	47.5561352225449	-122.25322569044
181	5.4	alive	west	47.5560851983776	-122.253300381664
224	7.5	alive	west	47.5560852096953	-122.253321099117
268	8.2	alive	west	47.5560992154559	-122.253333187999
144	9.7	alive	west	47.5560784864967	-122.253276910097
164	10.7	alive	west	47.5560718027253	-122.253288055899
256	12.2	alive	west	47.5560919087195	-122.253347939748
193	12.3	alive	west	47.5560671442971	-122.253311205332
216	12.8	alive	west	47.5560716110462	-122.253330469146
138	13.2	alive	west	47.556073107623	-122.253264230204
196	13.5	alive	west	47.556064423999	-122.253315069658
138	14.2	alive	west	47.5560710703213	-122.253261520372
177	14.8	alive	west	47.5560594820155	-122.253296863152
261	15.2	alive	west	47.5560934813327	-122.253360798844
199	15.6	alive	west	47.5560595632358	-122.253320568283
310	16.1	alive	west	47.5561283710178	-122.253349947291
233	16.6	alive	west	47.5560726124601	-122.253353689374
285	18.4	alive	west	47.5561130555452	-122.253371976972
310	20.5	alive	west	47.556136124584	-122.253363597492
